Area Name,County,Labor Force,Employment,Unemployment Number,Unemployment Rate
Denair ,Stanislaus                                            ,"2,600","2,500",100,3.2%
East Oakdale ,Stanislaus                                            ,"1,600","1,500",100,4.4%
Empire ,Stanislaus                                            ,"1,700","1,600",100,7.6%
Hughson ,Stanislaus                                            ,"3,200","3,000",200,6.0%
Keyes ,Stanislaus                                            ,"2,600","2,400",200,7.9%
Modesto ,Stanislaus                                            ,"96,500","91,000","5,500",5.7%
Newman ,Stanislaus                                            ,"4,500","4,200",300,6.7%
Oakdale ,Stanislaus                                            ,"9,500","8,900",600,6.4%
Patterson ,Stanislaus                                            ,"10,200","9,600",600,5.7%
Riverbank ,Stanislaus                                            ,"12,000","11,400",500,4.4%
Salida ,Stanislaus                                            ,"7,200","6,900",300,4.4%
Turlock ,Stanislaus                                            ,"34,600","32,800","1,800",5.1%
Waterford ,Stanislaus                                            ,"3,600","3,200",400,10.3%
West Modesto ,Stanislaus                                            ,"2,100","1,800",300,14.4%
Alturas ,Modoc                                                 ,"1,060","1,010",50,5.0%
Mammoth Lakes town,Mono                                                  ,"5,970","5,920",50,0.9%
American Canyon ,Napa                                                  ,"10,600","10,200",400,3.9%
Angwin ,Napa                                                  ,"2,100","2,100",100,3.0%
Calistoga ,Napa                                                  ,"2,700","2,700",100,2.3%
Deer Park ,Napa                                                  ,400,400,0,3.8%
Napa ,Napa                                                  ,"42,800","41,600","1,200",2.7%
St. Helena ,Napa                                                  ,"3,000","2,900",100,2.7%
Yountville town,Napa                                                  ,"1,200","1,200",0,1.9%
Alta Sierra ,Nevada                                                ,"3,680","3,650",30,0.8%
Grass Valley ,Nevada                                                ,"5,790","5,500",290,4.9%
Lake of the Pines ,Nevada                                                ,"2,180","2,100",80,3.8%
Lake Wildwood ,Nevada                                                ,"2,080","2,080",0,0.0%
Nevada  ,Nevada                                                ,"1,440","1,420",20,1.4%
Penn Valley ,Nevada                                                ,770,670,90,12.1%
Truckee town,Nevada                                                ,"10,730","10,470",260,2.4%
Camarillo ,Ventura                                               ,"33,000","32,000","1,000",3.2%
Casa Conejo ,Ventura                                               ,"1,700","1,600",100,5.3%
Channel Islands Beach ,Ventura                                               ,"1,500","1,400",100,9.2%
El Rio ,Ventura                                               ,"3,200","3,000",200,5.4%
Fillmore ,Ventura                                               ,"7,000","6,800",300,3.8%
Meiners Oaks ,Ventura                                               ,"1,800","1,700",0,2.0%
Mira Monte ,Ventura                                               ,"3,500","3,400",100,3.7%
Moorpark ,Ventura                                               ,"19,300","18,700",600,3.3%
Oak Park ,Ventura                                               ,"7,100","6,800",300,4.0%
Oak View ,Ventura                                               ,"2,200","2,100",100,3.4%
Ojai ,Ventura                                               ,"3,500","3,400",100,3.3%
Oxnard ,Ventura                                               ,"99,700","94,300","5,400",5.4%
Piru ,Ventura                                               ,800,800,0,3.5%
Port Hueneme ,Ventura                                               ,"10,300","10,000",300,3.4%
San Buenaventura (Ventura) ,Ventura                                               ,"55,000","53,200","1,800",3.3%
Santa Paula ,Ventura                                               ,"13,400","12,700",700,5.1%
Simi Valley ,Ventura                                               ,"66,700","64,700","2,100",3.1%
Thousand Oaks ,Ventura                                               ,"64,100","62,200","1,900",3.0%
Auburn ,Placer                                                ,"6,900","6,700",200,3.2%
Colfax ,Placer                                                ,"1,100","1,000",100,5.9%
Dollar Point ,Placer                                                ,600,600,0,1.8%
Foresthill ,Placer                                                ,700,700,0,2.7%
Granite Bay ,Placer                                                ,"10,800","10,500",300,3.2%
Kings Beach ,Placer                                                ,"1,900","1,900",0,2.0%
Lincoln ,Placer                                                ,"19,200","18,600",700,3.5%
Loomis town,Placer                                                ,"3,200","3,000",100,4.3%
Meadow Vista ,Placer                                                ,"1,600","1,600",0,2.9%
North Auburn ,Placer                                                ,"5,600","5,300",200,3.8%
Rocklin ,Placer                                                ,"32,600","31,500","1,100",3.3%
Roseville ,Placer                                                ,"68,000","65,800","2,200",3.2%
Sunnyside Tahoe  ,Placer                                                ,700,700,0,4.3%
Tahoe Vista ,Placer                                                ,900,800,0,2.7%
Beckwourth ,Plumas                                                ,110,110,0,0.0%
Belden ,Plumas                                                ,0,0,0,0.0%
Bucks Lake ,Plumas                                                ,20,20,0,0.0%
C Road ,Plumas                                                ,80,70,10,11.4%
Canyondam ,Plumas                                                ,30,10,20,64.7%
Chester ,Plumas                                                ,"1,220","1,170",50,4.2%
Chilcoot Vinton ,Plumas                                                ,10,0,10,100.0%
Clio ,Plumas                                                ,20,20,0,0.0%
Crescent Mills ,Plumas                                                ,130,130,0,0.0%
Cromberg ,Plumas                                                ,60,60,0,0.0%
Delleker ,Plumas                                                ,260,260,0,0.0%
East Quincy ,Plumas                                                ,"1,240","1,200",50,3.6%
East Shore ,Plumas                                                ,120,90,30,21.6%
Graeagle ,Plumas                                                ,290,280,10,2.8%
Greenhorn ,Plumas                                                ,140,120,10,8.1%
Greenville ,Plumas                                                ,250,250,0,1.6%
Hamilton Branch ,Plumas                                                ,240,200,30,14.3%
Indian Falls ,Plumas                                                ,0,0,0,0.0%
Iron Horse ,Plumas                                                ,180,160,30,13.7%
Johnsville ,Plumas                                                ,0,0,0,0.0%
Keddie ,Plumas                                                ,20,20,10,20.8%
La Porte ,Plumas                                                ,0,0,0,0.0%
Lake Almanor Country Club ,Plumas                                                ,90,90,0,0.0%
Lake Almanor Peninsula ,Plumas                                                ,100,100,0,0.0%
Lake Almanor West ,Plumas                                                ,60,60,10,8.2%
Little Grass Valley ,Plumas                                                ,0,0,0,0.0%
Meadow Valley ,Plumas                                                ,210,180,30,12.9%
Mohawk Vista ,Plumas                                                ,70,70,10,8.3%
Paxton ,Plumas                                                ,0,0,0,0.0%
Plumas Eureka ,Plumas                                                ,110,110,0,3.7%
Portola ,Plumas                                                ,830,750,80,9.8%
Prattville ,Plumas                                                ,10,10,0,0.0%
Quincy ,Plumas                                                ,900,860,40,4.7%
Spring Garden ,Plumas                                                ,0,0,0,0.0%
Taylorsville ,Plumas                                                ,70,50,20,22.9%
Tobin ,Plumas                                                ,0,0,0,0.0%
Twain ,Plumas                                                ,0,0,0,0.0%
Valley Ranch ,Plumas                                                ,0,0,0,0.0%
Whitehawk ,Plumas                                                ,10,10,0,0.0%
Anderson ,Shasta                                                ,"4,200","3,900",300,6.1%
Burney ,Shasta                                                ,"1,300","1,300",100,3.9%
Cottonwood ,Shasta                                                ,"1,300","1,200",100,6.0%
Fall River Mills ,Shasta                                                ,200,100,0,11.9%
Redding ,Shasta                                                ,"39,700","38,100","1,600",4.1%
Shasta Lake ,Shasta                                                ,"4,400","4,200",200,4.6%
Shingletown ,Shasta                                                ,600,600,0,6.4%
Banning ,Riverside                                             ,"11,200","10,600",600,5.3%
Beaumont ,Riverside                                             ,"21,900","21,200",700,3.3%
Bermuda Dunes ,Riverside                                             ,"3,900","3,700",200,4.1%
Blythe ,Riverside                                             ,"6,000","5,800",300,4.7%
Cabazon ,Riverside                                             ,"1,400","1,300",200,10.4%
Calimesa ,Riverside                                             ,"3,400","3,200",200,4.8%
Canyon Lake ,Riverside                                             ,"5,600","5,400",200,3.2%
Cathedral  ,Riverside                                             ,"26,600","25,100","1,500",5.5%
Cherry Valley ,Riverside                                             ,"3,400","3,300",100,4.0%
Coachella ,Riverside                                             ,"20,500","17,900","2,700",13.0%
Corona ,Riverside                                             ,"84,000","81,300","2,600",3.1%
Desert Hot Springs ,Riverside                                             ,"11,700","10,900",800,6.9%
East Hemet ,Riverside                                             ,"8,000","7,400",600,7.8%
Eastvale  ,Riverside                                             ,"31,900","30,900","1,000",3.0%
El Cerrito ,Riverside                                             ,"2,400","2,300",100,3.1%
Hemet ,Riverside                                             ,"29,600","27,900","1,700",5.8%
Highgrove ,Riverside                                             ,"2,200","2,000",200,8.0%
Home Gardens ,Riverside                                             ,"5,600","5,400",200,3.5%
Homeland ,Riverside                                             ,"3,000","2,900",200,5.0%
Idyllwild Pine Cove ,Riverside                                             ,"1,400","1,300",0,1.8%
Indian Wells ,Riverside                                             ,"1,800","1,800",0,2.6%
Indio ,Riverside                                             ,"41,100","38,300","2,900",7.0%
Jurupa Valley ,Riverside                                             ,"47,800","46,000","1,800",3.7%
La Quinta ,Riverside                                             ,"19,300","18,200","1,100",5.8%
Lake Elsinore ,Riverside                                             ,"29,900","28,700","1,200",3.9%
Lakeland Village ,Riverside                                             ,"5,800","5,400",400,7.4%
Lakeview ,Riverside                                             ,"1,100","1,000",100,5.6%
March AFB ,Riverside                                             ,300,300,0,4.8%
Mecca ,Riverside                                             ,"3,400","3,200",200,4.7%
Menifee ,Riverside                                             ,"38,600","37,000","1,600",4.1%
Moreno Valley ,Riverside                                             ,"94,400","90,200","4,200",4.5%
Murrieta ,Riverside                                             ,"55,100","53,300","1,800",3.4%
Norco ,Riverside                                             ,"11,700","11,300",400,3.6%
Nuevo ,Riverside                                             ,"3,100","2,900",200,5.6%
Palm Desert ,Riverside                                             ,"25,200","23,700","1,600",6.2%
Palm Springs ,Riverside                                             ,"23,100","22,000","1,100",4.9%
Perris ,Riverside                                             ,"30,500","29,000","1,400",4.7%
Rancho Mirage ,Riverside                                             ,"6,400","6,200",200,3.7%
Riverside ,Riverside                                             ,"153,600","147,800","5,800",3.7%
Romoland ,Riverside                                             ,800,800,0,2.8%
San Jacinto ,Riverside                                             ,"18,700","17,800","1,000",5.2%
Temecula ,Riverside                                             ,"55,200","53,300","1,900",3.4%
Thousand Palms ,Riverside                                             ,"2,800","2,700",100,3.5%
Valle Vista ,Riverside                                             ,"6,600","6,200",300,5.0%
Wildomar ,Riverside                                             ,"17,500","16,900",700,3.8%
Winchester ,Riverside                                             ,"1,200","1,100",100,7.8%
Woodcrest ,Riverside                                             ,"8,400","8,000",300,4.1%
Arden Arcade ,Sacramento                                            ,"45,800","43,400","2,500",5.4%
Carmichael ,Sacramento                                            ,"31,200","29,900","1,300",4.1%
Citrus Heights ,Sacramento                                            ,"44,000","42,400","1,600",3.7%
Elk Grove ,Sacramento                                            ,"83,400","80,500","2,900",3.4%
Fair Oaks ,Sacramento                                            ,"15,300","14,700",500,3.4%
Florin ,Sacramento                                            ,"20,400","19,200","1,200",5.8%
Folsom ,Sacramento                                            ,"37,500","36,300","1,100",3.0%
Foothill Farms ,Sacramento                                            ,"15,300","14,700",600,4.2%
Galt ,Sacramento                                            ,"11,500","11,000",500,4.3%
Gold River ,Sacramento                                            ,"3,500","3,400",100,2.9%
Isleton ,Sacramento                                            ,300,300,0,5.5%
La Riviera ,Sacramento                                            ,"5,800","5,600",200,2.8%
North Highlands ,Sacramento                                            ,"19,500","18,900",600,3.3%
Orangevale ,Sacramento                                            ,"17,200","16,800",500,2.7%
Rancho Cordova ,Sacramento                                            ,"35,200","33,800","1,400",4.0%
Rancho Murieta ,Sacramento                                            ,"2,200","2,200",0,1.7%
Rio Linda ,Sacramento                                            ,"6,800","6,500",200,3.2%
Rosemont ,Sacramento                                            ,"12,400","11,900",500,3.9%
Sacramento ,Sacramento                                            ,"236,000","226,600","9,400",4.0%
Vineyard ,Sacramento                                            ,"13,200","12,800",400,2.9%
Walnut Grove ,Sacramento                                            ,700,700,0,6.1%
Wilton ,Sacramento                                            ,"2,400","2,400",0,1.6%
Aromas  (Monterey Co),Monterey                                              ,"1,500","1,500",100,4.7%
Boronda ,Monterey                                              ,400,400,0,1.6%
Bradley ,Monterey                                              ,100,100,0,2.3%
Carmel by the Sea ,Monterey                                              ,"1,700","1,700",0,0.1%
Carmel Valley Village ,Monterey                                              ,"2,600","2,500",100,5.3%
Castroville ,Monterey                                              ,"3,600","3,300",300,8.4%
Chualar ,Monterey                                              ,800,700,0,5.5%
Del Monte Forest ,Monterey                                              ,"1,800","1,700",100,7.1%
Del Rey Oaks ,Monterey                                              ,"1,000","1,000",0,4.3%
Elkhorn ,Monterey                                              ,700,700,0,0.0%
Gonzales ,Monterey                                              ,"4,200","4,100",0,1.1%
Greenfield ,Monterey                                              ,"8,400","8,000",400,4.7%
King  ,Monterey                                              ,"6,700","6,300",300,4.7%
Las Lomas ,Monterey                                              ,"2,300","2,200",100,5.7%
Marina ,Monterey                                              ,"13,400","12,900",500,3.5%
Monterey ,Monterey                                              ,"16,700","16,200",500,3.2%
Moss Landing ,Monterey                                              ,100,100,0,0.0%
Pacific Grove ,Monterey                                              ,"9,200","8,900",300,3.1%
Pajaro ,Monterey                                              ,"1,900","1,600",300,13.7%
Prunedale ,Monterey                                              ,"12,700","12,200",600,4.5%
Salinas ,Monterey                                              ,"83,800","79,600","4,200",5.0%
San Ardo ,Monterey                                              ,200,200,0,1.0%
San Lucas ,Monterey                                              ,200,100,0,12.3%
Sand  ,Monterey                                              ,200,200,0,2.4%
Seaside ,Monterey                                              ,"18,800","18,200",600,3.2%
Soledad ,Monterey                                              ,"8,400","7,900",500,5.6%
Spreckels ,Monterey                                              ,300,300,0,0.0%
Hollister ,San Benito                                            ,"19,500","18,600","1,000",4.9%
Ridgemark ,San Benito                                            ,"1,500","1,400",0,2.5%
San Juan Bautista ,San Benito                                            ,"1,100","1,000",0,3.4%
Adelanto ,San Bernardino                                        ,"9,700","8,900",800,8.1%
Apple Valley town,San Bernardino                                        ,"29,200","27,700","1,500",5.0%
Barstow ,San Bernardino                                        ,"8,700","8,200",500,6.1%
Big Bear  ,San Bernardino                                        ,"5,900","5,700",200,3.1%
Big Bear Lake ,San Bernardino                                        ,"2,400","2,300",0,1.9%
Big River ,San Bernardino                                        ,400,400,0,4.9%
Bloomington ,San Bernardino                                        ,"10,500","9,900",500,5.1%
Bluewater ,San Bernardino                                        ,0,0,0,0.0%
Chino ,San Bernardino                                        ,"42,800","41,300","1,500",3.5%
Chino Hills ,San Bernardino                                        ,"44,000","42,800","1,200",2.7%
Colton ,San Bernardino                                        ,"24,800","23,700","1,100",4.3%
Crestline ,San Bernardino                                        ,"4,600","4,500",100,2.1%
Fontana ,San Bernardino                                        ,"98,800","95,100","3,700",3.8%
Grand Terrace ,San Bernardino                                        ,"6,300","6,000",200,3.8%
Hesperia ,San Bernardino                                        ,"35,900","34,000","1,900",5.4%
Highland ,San Bernardino                                        ,"24,800","23,700","1,000",4.1%
Joshua Tree ,San Bernardino                                        ,"2,900","2,700",200,6.1%
Lake Arrowhead ,San Bernardino                                        ,"4,900","4,800",100,2.6%
Lenwood ,San Bernardino                                        ,"2,200","2,100",0,1.7%
Loma Linda ,San Bernardino                                        ,"11,500","11,200",300,2.5%
Mentone ,San Bernardino                                        ,"5,200","5,000",200,3.7%
Montclair ,San Bernardino                                        ,"19,200","18,600",600,3.2%
Morongo Valley ,San Bernardino                                        ,"1,600","1,600",100,4.2%
Mountain View Acres ,San Bernardino                                        ,"1,300","1,200",100,7.1%
Muscoy ,San Bernardino                                        ,"4,500","4,100",500,10.0%
Needles ,San Bernardino                                        ,"1,800","1,700",0,2.4%
Ontario ,San Bernardino                                        ,"86,300","83,200","3,100",3.6%
Rancho Cucamonga ,San Bernardino                                        ,"96,600","93,600","3,000",3.1%
Redlands ,San Bernardino                                        ,"35,700","34,600","1,100",3.1%
Rialto ,San Bernardino                                        ,"45,000","42,900","2,100",4.7%
Running Springs ,San Bernardino                                        ,"2,100","2,000",100,4.8%
San Antonio Heights ,San Bernardino                                        ,"1,700","1,700",0,1.0%
San Bernardino ,San Bernardino                                        ,"85,200","80,800","4,400",5.1%
Searles Valley ,San Bernardino                                        ,600,600,100,9.8%
Twentynine Palms ,San Bernardino                                        ,"7,100","6,700",400,5.5%
Upland ,San Bernardino                                        ,"39,700","38,300","1,400",3.4%
Victorville ,San Bernardino                                        ,"46,300","43,500","2,800",6.0%
Wrightwood ,San Bernardino                                        ,"2,100","2,000",100,3.0%
Yucaipa ,San Bernardino                                        ,"25,300","24,400",800,3.4%
Yucca Valley town,San Bernardino                                        ,"8,600","8,200",500,5.6%
Bonita ,San Diego                                             ,"6,100","5,800",300,4.3%
Bostonia ,San Diego                                             ,"8,100","7,600",600,7.3%
Carlsbad ,San Diego                                             ,"55,500","53,800","1,700",3.1%
Casa de Oro Mount Helix ,San Diego                                             ,"9,900","9,500",400,3.7%
Chula Vista ,San Diego                                             ,"123,700","119,300","4,500",3.6%
Coronado ,San Diego                                             ,"8,800","8,500",300,3.3%
Del Mar ,San Diego                                             ,"2,500","2,400",0,1.8%
El Cajon ,San Diego                                             ,"45,700","43,900","1,800",3.9%
Encinitas ,San Diego                                             ,"33,600","32,700",900,2.6%
Escondido ,San Diego                                             ,"69,800","67,600","2,200",3.2%
Fallbrook ,San Diego                                             ,"13,500","13,100",400,3.2%
Imperial Beach ,San Diego                                             ,"12,000","11,600",500,3.9%
La Mesa ,San Diego                                             ,"31,000","30,000","1,000",3.3%
Lakeside ,San Diego                                             ,"10,800","10,400",400,3.7%
Lemon Grove ,San Diego                                             ,"12,600","12,100",500,3.8%
National  ,San Diego                                             ,"24,900","23,900","1,000",4.1%
Oceanside ,San Diego                                             ,"82,900","80,100","2,900",3.5%
Poway ,San Diego                                             ,"26,000","25,300",700,2.6%
Ramona ,San Diego                                             ,"11,300","10,900",300,3.0%
San Diego ,San Diego                                             ,"722,100","698,600","23,500",3.2%
San Marcos ,San Diego                                             ,"42,600","41,300","1,300",3.1%
Santee ,San Diego                                             ,"29,500","28,600",900,3.0%
Solana Beach ,San Diego                                             ,"7,300","7,200",100,1.7%
Spring Valley ,San Diego                                             ,"14,100","13,400",700,4.8%
Valley Center ,San Diego                                             ,"4,600","4,400",200,3.6%
Vista ,San Diego                                             ,"45,500","43,900","1,600",3.5%
San Francisco                                        ,San Francisco                                         ,"586,900","573,600","13,300",2.3%
Arroyo Grande ,San Luis Obispo                                       ,"9,000","8,700",200,2.7%
Atascadero ,San Luis Obispo                                       ,"15,100","14,700",500,3.0%
Cambria ,San Luis Obispo                                       ,"2,600","2,500",100,4.6%
Cayucos ,San Luis Obispo                                       ,"1,400","1,400",0,2.5%
El Paso de Robles (Paso Robles) ,San Luis Obispo                                       ,"15,800","15,300",500,2.9%
Grover Beach ,San Luis Obispo                                       ,"6,600","6,400",200,3.0%
Lake Nacimiento ,San Luis Obispo                                       ,"1,200","1,100",0,2.2%
Morro Bay ,San Luis Obispo                                       ,"4,900","4,800",200,3.5%
Nipomo ,San Luis Obispo                                       ,"8,900","8,600",300,3.6%
Oceano ,San Luis Obispo                                       ,"3,600","3,500",100,4.0%
Pismo Beach ,San Luis Obispo                                       ,"4,200","4,100",100,2.5%
San Luis Obispo ,San Luis Obispo                                       ,"24,900","24,200",700,2.8%
San Miguel ,San Luis Obispo                                       ,"1,300","1,200",100,7.9%
Shandon ,San Luis Obispo                                       ,700,600,0,5.0%
Templeton ,San Luis Obispo                                       ,"3,900","3,800",100,1.4%
Atherton town,San Mateo                                             ,"3,300","3,200",100,2.3%
Belmont ,San Mateo                                             ,"17,000","16,600",400,2.2%
Brisbane ,San Mateo                                             ,"3,000","2,900",100,1.7%
Broadmoor ,San Mateo                                             ,"3,400","3,200",200,4.8%
Burlingame ,San Mateo                                             ,"18,700","18,400",400,2.0%
Daly  ,San Mateo                                             ,"66,100","64,600","1,500",2.2%
East Palo Alto ,San Mateo                                             ,"15,300","14,900",400,2.5%
El Granada ,San Mateo                                             ,"4,000","3,900",100,2.9%
Foster  ,San Mateo                                             ,"20,500","20,100",400,2.0%
Half Moon Bay ,San Mateo                                             ,"8,000","7,900",100,1.5%
Hillsborough town,San Mateo                                             ,"5,200","5,100",100,2.2%
Menlo Park ,San Mateo                                             ,"20,100","19,700",400,2.1%
Millbrae ,San Mateo                                             ,"13,100","12,800",300,2.2%
North Fair Oaks ,San Mateo                                             ,"9,100","8,800",200,2.6%
Pacifica ,San Mateo                                             ,"24,800","24,300",500,2.1%
Redwood  ,San Mateo                                             ,"52,100","51,100","1,100",2.1%
San Bruno ,San Mateo                                             ,"27,500","26,900",600,2.2%
San Carlos ,San Mateo                                             ,"18,100","17,700",400,2.1%
San Mateo ,San Mateo                                             ,"65,700","64,400","1,300",2.0%
South San Francisco ,San Mateo                                             ,"40,000","39,000","1,000",2.4%
West Menlo Park ,San Mateo                                             ,"2,000","1,900",0,2.4%
Corte Madera town,Marin                                                 ,"5,500","5,300",100,2.5%
Fairfax town,Marin                                                 ,"4,700","4,700",100,1.8%
Inverness ,Marin                                                 ,600,600,0,0.6%
Larkspur ,Marin                                                 ,"6,800","6,700",200,2.2%
Mill Valley ,Marin                                                 ,"7,300","7,200",100,1.2%
Novato ,Marin                                                 ,"30,200","29,400",800,2.5%
Point Reyes Station ,Marin                                                 ,200,200,0,0.0%
San Anselmo town,Marin                                                 ,"7,400","7,200",200,2.8%
San Rafael ,Marin                                                 ,"33,000","32,200",800,2.3%
Sausalito ,Marin                                                 ,"4,700","4,600",100,2.2%
Tamalpais Homestead Valley ,Marin                                                 ,"6,100","5,900",200,3.2%
Tomales ,Marin                                                 ,300,300,0,0.0%
Campbell ,Santa Clara                                           ,"26,400","25,800",600,2.4%
Cupertino ,Santa Clara                                           ,"30,300","29,600",800,2.5%
East Foothills ,Santa Clara                                           ,"3,800","3,800",100,1.5%
Gilroy ,Santa Clara                                           ,"30,100","29,300",900,2.9%
Los Altos ,Santa Clara                                           ,"15,100","14,700",400,2.6%
Los Gatos town,Santa Clara                                           ,"16,400","15,900",500,2.8%
Milpitas ,Santa Clara                                           ,"42,300","41,100","1,200",2.9%
Morgan Hill ,Santa Clara                                           ,"24,500","23,800",600,2.6%
Mountain View ,Santa Clara                                           ,"52,200","51,100","1,000",2.0%
Palo Alto ,Santa Clara                                           ,"36,400","35,700",700,2.0%
San Jose ,Santa Clara                                           ,"563,300","547,600","15,700",2.8%
San Martin ,Santa Clara                                           ,"4,000","3,900",100,2.7%
Santa Clara ,Santa Clara                                           ,"71,200","69,400","1,700",2.5%
Saratoga ,Santa Clara                                           ,"15,200","14,800",400,2.7%
Sunnyvale ,Santa Clara                                           ,"89,000","87,100","1,900",2.1%
Aptos ,Santa Cruz                                            ,"3,500","3,400",100,2.3%
Aptos Hills Larkin Valley ,Santa Cruz                                            ,"1,200","1,200",100,7.0%
Ben Lomond ,Santa Cruz                                            ,"3,800","3,700",100,2.4%
Boulder Creek ,Santa Cruz                                            ,"2,500","2,400",200,6.0%
Capitola ,Santa Cruz                                            ,"5,700","5,600",100,1.8%
Corralitos ,Santa Cruz                                            ,"1,600","1,500",0,1.6%
Day Valley ,Santa Cruz                                            ,"1,700","1,700",0,2.6%
Felton ,Santa Cruz                                            ,"2,100","2,000",100,5.1%
Freedom ,Santa Cruz                                            ,"1,600","1,500",0,2.1%
Interlaken ,Santa Cruz                                            ,"3,300","3,200",100,3.1%
Live Oak ,Santa Cruz                                            ,"9,400","9,100",200,2.5%
Rio del Mar ,Santa Cruz                                            ,"4,800","4,700",100,3.0%
Santa Cruz ,Santa Cruz                                            ,"34,100","32,800","1,300",3.8%
Scotts Valley ,Santa Cruz                                            ,"6,200","6,000",200,3.0%
Soquel ,Santa Cruz                                            ,"6,200","6,000",200,3.6%
Twin Lakes ,Santa Cruz                                            ,"2,900","2,700",200,5.7%
Watsonville ,Santa Cruz                                            ,"25,200","23,900","1,200",5.0%
Buellton ,Santa Barbara                                         ,"2,800","2,800",0,1.2%
Carpinteria ,Santa Barbara                                         ,"7,500","7,200",300,3.5%
Goleta ,Santa Barbara                                         ,"17,300","16,900",400,2.5%
Guadalupe ,Santa Barbara                                         ,"3,200","3,100",100,3.0%
Isla Vista ,Santa Barbara                                         ,"12,800","11,900","1,000",7.7%
Lompoc ,Santa Barbara                                         ,"17,500","16,700",800,4.5%
Los Alamos ,Santa Barbara                                         ,700,700,0,4.8%
Mission Canyon ,Santa Barbara                                         ,"1,500","1,400",0,3.3%
Mission Hills ,Santa Barbara                                         ,"2,100","2,000",100,5.1%
Montecito ,Santa Barbara                                         ,"3,400","3,200",200,4.5%
Orcutt ,Santa Barbara                                         ,"14,700","14,200",500,3.4%
Santa Barbara ,Santa Barbara                                         ,"51,100","49,700","1,400",2.8%
Santa Maria ,Santa Barbara                                         ,"48,500","46,500","2,000",4.1%
Santa Ynez ,Santa Barbara                                         ,"2,300","2,200",100,5.2%
Solvang ,Santa Barbara                                         ,"3,000","3,000",100,2.1%
Summerland ,Santa Barbara                                         ,500,500,0,2.2%
Toro Canyon ,Santa Barbara                                         ,800,800,0,2.3%
Vandenberg AFB ,Santa Barbara                                         ,900,800,0,4.1%
Vandenberg Village ,Santa Barbara                                         ,"3,400","3,300",100,3.0%
Bodega Bay ,Sonoma                                                ,500,500,0,1.7%
Boyes Hot Springs ,Sonoma                                                ,"4,000","3,900",100,2.6%
Cloverdale ,Sonoma                                                ,"4,500","4,400",100,1.8%
Cotati ,Sonoma                                                ,"4,400","4,300",100,2.5%
El Verano ,Sonoma                                                ,"2,000","2,000",0,1.9%
Fetters Hot Springs Agua Caliente ,Sonoma                                                ,"2,600","2,500",100,2.7%
Forestville ,Sonoma                                                ,"2,100","2,000",100,3.0%
Glen Ellen ,Sonoma                                                ,500,500,0,0.0%
Graton ,Sonoma                                                ,800,700,0,5.8%
Guerneville ,Sonoma                                                ,"2,400","2,300",100,3.0%
Healdsburg ,Sonoma                                                ,"6,200","6,000",100,2.3%
Monte Rio ,Sonoma                                                ,600,500,0,7.5%
Occidental ,Sonoma                                                ,500,500,0,0.0%
Petaluma ,Sonoma                                                ,"33,800","33,000",900,2.6%
Rohnert Park ,Sonoma                                                ,"23,600","23,000",700,2.8%
Santa Rosa ,Sonoma                                                ,"89,900","87,400","2,500",2.8%
Sebastopol ,Sonoma                                                ,"4,100","3,900",200,4.1%
Sonoma ,Sonoma                                                ,"5,600","5,400",200,3.7%
Windsor town,Sonoma                                                ,"14,300","13,900",400,2.7%
Loyalton ,Sierra                                                ,430,410,20,4.7%
Dunsmuir ,Siskiyou                                              ,670,630,30,4.7%
McCloud ,Siskiyou                                              ,390,360,30,8.2%
Mount Shasta ,Siskiyou                                              ,"1,640","1,620",20,1.3%
Weed ,Siskiyou                                              ,"1,140","1,070",70,6.1%
Yreka ,Siskiyou                                              ,"2,810","2,630",190,6.6%
August ,San Joaquin                                           ,"3,000","2,700",300,11.0%
Country Club ,San Joaquin                                           ,"4,400","3,900",400,10.1%
Escalon ,San Joaquin                                           ,"3,700","3,600",0,1.3%
Farmington ,San Joaquin                                           ,0,0,0,0.0%
French Camp ,San Joaquin                                           ,"1,100","1,000",100,9.6%
Garden Acres ,San Joaquin                                           ,"4,700","4,400",300,7.2%
Kennedy ,San Joaquin                                           ,"1,300","1,200",100,8.7%
Lathrop ,San Joaquin                                           ,"9,600","9,100",500,5.1%
Lincoln Village ,San Joaquin                                           ,"2,200","2,000",200,7.8%
Linden ,San Joaquin                                           ,"1,200","1,100",0,2.5%
Lockeford ,San Joaquin                                           ,"1,500","1,400",100,4.5%
Lodi ,San Joaquin                                           ,"29,400","27,900","1,500",5.0%
Manteca ,San Joaquin                                           ,"36,800","35,100","1,700",4.7%
Morada ,San Joaquin                                           ,"1,600","1,600",0,2.0%
Ripon ,San Joaquin                                           ,"7,600","7,400",200,3.0%
Stockton ,San Joaquin                                           ,"130,700","121,800","8,900",6.8%
Taft Mosswood ,San Joaquin                                           ,400,400,0,4.8%
Tracy ,San Joaquin                                           ,"43,700","41,800","1,900",4.4%
Live Oak ,Sutter                                                ,"4,000","3,800",200,4.9%
Sutter ,Sutter                                                ,"1,700","1,700",0,2.0%
Yuba  ,Sutter                                                ,"32,300","30,300","2,000",6.1%
Corning ,Tehama                                                ,"3,100","2,820",290,9.3%
Los Molinos ,Tehama                                                ,770,730,40,5.3%
Manton ,Tehama                                                ,120,120,10,4.2%
Mineral ,Tehama                                                ,100,80,20,18.8%
Rancho Tehama Reserve ,Tehama                                                ,870,810,60,7.2%
Red Bluff ,Tehama                                                ,"5,370","5,050",320,5.9%
